symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl,hold_days
AFRM,2024-10-10,2025-01-10,1,42.534253,57.33426600000001,12.800013000000007,92.0
AFRM,2025-04-30,2025-05-12,1,47.66476599999999,49.9700025,0.30523650000000657,12.0
AFRM,2025-05-30,2025-09-26,1,51.615161,77.9922,24.377038999999996,119.0
AFRM,2026-01-07,2026-01-27,1,82.388238,71.022897,-13.365341,20.0
AGNC,2024-10-16,2024-10-23,7,10.4960495,9.989001,-5.5493394999999985,7.0
AGNC,2025-03-10,2025-03-26,6,10.321032,9.949005,-4.232162000000006,16.0
AGNC,2025-07-02,2025-08-12,7,9.3459345,9.39906,-1.628121499999999,41.0
AGNC,2025-08-14,2025-09-23,6,9.589958900000001,9.749025,-1.045603400000008,40.0
AGNC,2025-10-06,2025-10-31,7,10.061006,9.949005,-2.784007000000008,25.0
AGNC,2025-11-05,2026-02-03,7,10.181018,11.488851,7.154831000000003,90.0
AXTA,2024-10-08,2024-10-23,2,35.753575,34.946505,-3.614139999999992,15.0
AXTA,2024-10-31,2024-12-16,2,38.063806,38.156183999999996,-1.815244000000007,46.0
AXTA,2025-05-05,2025-05-09,2,32.873287,31.286870999999998,-5.172832,4.0
AXTA,2025-08-20,2025-09-18,2,30.963096,30.726927,-2.4723380000000006,29.0
BBY,2025-11-06,2025-11-14,1,80.888088,77.152284,-5.735804000000002,8.0
CNP,2024-12-13,2025-01-07,2,31.923192,31.076891999999997,-3.692600000000006,25.0
CNP,2025-01-15,2025-06-05,2,32.153214999999996,36.986301000000005,7.666172000000017,141.0
CNP,2025-07-21,2025-08-19,1,37.263726,37.726226999999994,-1.537499000000004,29.0
CNP,2025-09-24,2025-10-30,1,39.0039,39.036096,-1.967804000000001,36.0
CNP,2025-11-10,2025-12-02,2,39.183918,39.276072,-1.8156919999999985,22.0
CPNG,2024-10-24,2024-11-07,3,25.40254,24.267573,-5.404900999999999,14.0
CPNG,2024-11-14,2024-11-18,2,25.812580999999998,24.357564,-4.910033999999996,4.0
CPNG,2025-02-27,2025-03-07,2,24.992499,23.137686000000002,-5.709625999999993,8.0
CPNG,2025-03-20,2025-03-21,3,23.0023,22.967703,-2.1037910000000046,1.0
CPNG,2025-03-24,2025-03-31,2,23.812381,21.947805,-5.729151999999999,7.0
CPNG,2025-05-05,2025-07-30,2,23.892389,30.086991,10.389204,86.0
CPNG,2025-10-29,2025-11-06,2,31.983198,29.707029000000002,-6.552337999999999,8.0
CTSH,2024-10-03,2024-10-11,1,76.48764800000001,74.572542,-3.9151060000000086,8.0
CTSH,2024-10-15,2024-10-23,1,76.947694,75.632436,-3.315258,8.0
CTSH,2025-11-19,2026-02-03,1,71.977197,74.49255,0.5153529999999904,76.0
D,2024-10-16,2024-11-05,1,58.755875,57.434256,-3.3216190000000054,20.0
D,2024-11-22,2024-12-03,1,58.655865,57.694230000000005,-2.961634999999994,11.0
D,2025-03-11,2025-03-13,1,56.695668999999995,53.914608,-4.781060999999994,2.0
D,2025-06-24,2025-09-04,1,55.785578,59.424057,1.6384789999999967,72.0
D,2025-10-13,2025-10-29,1,60.766076,59.514048,-3.2520279999999957,16.0
D,2025-11-21,2025-12-03,1,61.156115,60.503949,-2.652166000000001,12.0
DT,2024-10-25,2024-11-11,1,54.205420000000004,53.504649,-2.700771000000003,17.0
DT,2024-11-25,2024-12-16,1,55.755575,54.574542,-3.1810329999999993,21.0
DT,2025-05-13,2025-07-11,1,50.245024,52.69473,0.44970599999999905,59.0
DT,2025-11-03,2025-11-06,1,50.655065,47.595240000000004,-5.0598249999999965,3.0
FAF,2024-10-15,2024-10-22,1,66.0066,64.573542,-3.4330580000000026,7.0
FAF,2025-03-18,2025-04-07,1,64.74647399999999,59.734026,-7.012447999999992,20.0
FAF,2025-06-27,2025-07-11,1,60.976096999999996,56.284371,-6.691725999999996,14.0
FAF,2025-08-06,2025-09-26,1,62.736273,64.583541,-0.1527320000000003,51.0
GAP,2024-11-22,2025-01-14,2,25.80258,23.167683,-7.269793999999997,53.0
GAP,2025-01-22,2025-02-03,2,24.90249,23.047695,-5.709589999999999,12.0
GAP,2025-08-14,2025-09-22,3,20.70207,22.427757,3.177061000000002,39.0
GAP,2025-10-24,2025-12-30,3,23.172317000000003,25.937406000000003,6.295266999999999,67.0
GAP,2026-01-09,2026-02-03,3,28.632863,28.337166,-2.8870910000000016,25.0
HBAN,2024-11-06,2024-12-19,4,16.741674,16.178382,-4.253168000000002,43.0
HBAN,2025-05-05,2025-07-16,4,14.941493999999999,16.648335,4.827364000000003,72.0
HBAN,2025-08-14,2025-10-02,3,16.601660000000003,17.038296,-0.6900920000000106,49.0
HBAN,2025-12-11,2026-01-02,4,17.50175,17.378262,-2.4939520000000073,22.0
HBAN,2026-01-06,2026-01-29,5,17.881788,17.1932805,-5.4425375,23.0
IAC,2024-10-16,2024-10-24,1,53.985397999999996,52.224776999999996,-3.7606210000000004,8.0
IAC,2025-03-18,2025-04-02,1,46.904689999999995,38.536146,-10.368543999999993,15.0
IAC,2025-05-13,2025-05-27,1,39.493949,36.946305,-4.547643999999998,14.0
IAC,2025-06-27,2025-08-06,1,37.123712,34.106589,-5.017122999999998,40.0
IAC,2025-12-02,2026-01-08,2,35.703570000000006,38.576142,3.745143999999982,37.0
KO,2025-10-15,2025-12-08,1,67.2717265,69.833016,0.5612895000000009,54.0
KO,2026-01-28,2026-02-03,1,73.217321,76.882311,1.664990000000003,6.0
MAT,2024-10-07,2024-10-15,4,19.211921,18.858114,-3.415227999999999,8.0
MAT,2024-11-08,2024-11-13,3,19.271926999999998,18.968103,-2.9114719999999963,5.0
MAT,2025-05-13,2025-06-03,3,19.10191,18.538145999999998,-3.691292000000008,21.0
MAT,2025-06-23,2025-07-25,3,18.931893,17.0532945,-7.635795499999997,32.0
MAT,2025-09-08,2025-09-16,3,18.711871000000002,17.478252,-5.700857000000003,8.0
MAT,2025-10-24,2025-12-23,4,19.191919000000002,19.808018999999998,0.4643999999999835,60.0
MAT,2026-01-06,2026-01-28,4,20.572057,20.257974,-3.2563320000000004,22.0
MRK,2026-02-02,2026-02-03,1,110.131012,115.828416,3.697404000000006,1.0
OC,2026-02-03,2026-02-03,1,121.96219500000001,124.947504,0.9853089999999867,0.0
RBRK,2025-01-17,2025-02-24,1,69.60696,69.253074,-2.353886000000003,38.0
REXR,2025-03-06,2025-03-11,1,40.994099,39.916008000000005,-3.0780909999999935,5.0
REXR,2025-03-19,2025-03-24,1,40.654064999999996,39.206079,-3.447985999999993,5.0
REXR,2025-05-13,2025-06-26,1,35.843584,35.886411,-1.9571729999999974,44.0
REXR,2025-07-03,2025-07-18,1,37.203720000000004,35.476451999999995,-3.7272680000000094,15.0
REXR,2025-07-22,2025-08-04,1,36.933693,36.056394000000004,-2.8772989999999936,13.0
REXR,2025-08-06,2025-08-12,1,36.80368,36.746325,-2.057355000000001,6.0
REXR,2025-08-13,2025-10-13,1,36.993699,39.886011,0.892312000000004,61.0
REXR,2025-10-16,2025-10-30,1,43.254325,41.205879,-4.048445999999998,14.0
ROIV,2024-10-11,2024-10-22,6,11.921192,11.49885,-4.534052000000003,11.0
ROIV,2025-01-03,2025-01-06,6,12.131213,11.673832500000001,-4.744282999999996,3.0
ROIV,2025-04-25,2025-05-12,6,10.911091,10.638936000000001,-3.632929999999998,17.0
ROIV,2025-05-13,2025-07-02,6,10.991099,10.888911,-2.6131279999999997,50.0
ROIV,2025-08-05,2025-08-12,5,11.50115,11.29887,-3.0114,7.0
ROIV,2025-08-13,2026-02-02,5,11.60116,21.567843,47.833415,173.0
SNDK,2025-08-11,2026-02-03,1,45.704570000000004,695.440449,647.735879,176.0
TRU,2026-01-06,2026-01-07,1,83.01830100000001,83.381661,-1.636640000000014,1.0
UHAL,2024-10-31,2024-11-04,1,74.077407,72.722727,-3.3546799999999877,4.0
UHAL,2024-11-05,2024-11-13,1,74.047404,72.122787,-3.924616999999998,8.0
UHAL,2025-02-12,2025-02-25,1,71.427142,70.862913,-2.5642289999999974,13.0
UHAL,2025-05-13,2025-05-22,1,66.746674,61.083891,-7.6627829999999975,9.0
UHAL,2025-07-23,2025-07-31,1,64.326432,58.604138999999996,-7.7222930000000005,8.0
UHAL,2025-12-11,2025-12-30,1,54.245424,50.444955,-5.800469,19.0
